"Story","Title","Result","Date","Stability","Duration (s)"
"Test accept privacy policy","Invalid accept privacy policy should not initialize the app with mock objects","SUCCESS","2023-11-30T13:51:07.3275672+02:00[Europe/Bucharest]","0.0","7.04"
"Test accept privacy policy","Valid accept privacy policy should initialize the app with mock objects","SUCCESS","2023-11-30T13:51:15.6602808+02:00[Europe/Bucharest]","0.0","6.04"
"Test add plant care","Valid add plant care","SUCCESS","2023-11-30T13:51:25.0724707+02:00[Europe/Bucharest]","0.0","8.37"
"Test add plant care","Invalid add plant care","SUCCESS","2023-11-30T13:51:33.4826498+02:00[Europe/Bucharest]","0.0","5.7"
"Test delete transaction","Valid delete transaction","SUCCESS","2023-11-30T13:51:40.2350879+02:00[Europe/Bucharest]","0.0","5.29"
"Test search to add plant not parameterized","Search to add plant","SUCCESS","2023-11-30T13:51:45.7761159+02:00[Europe/Bucharest]","0.0","7.05"
"Test search to add plant not parameterized","Invalid search to add plant because plant id already exist","SUCCESS","2023-11-30T13:51:52.882375+02:00[Europe/Bucharest]","0.0","5.06"
"Test search to add plant not parameterized","Invalid search to add plant not found","SUCCESS","2023-11-30T13:51:57.9941328+02:00[Europe/Bucharest]","0.0","4.08"
"Test search to add parameterized","Parameterized search to add plant","SUCCESS","2023-11-30T13:52:34.7099154+02:00[Europe/Bucharest]","0.0","31.15"
"Test update plant details not parameterized","Invalid update plant details","SUCCESS","2023-11-30T13:52:35.4876413+02:00[Europe/Bucharest]","0.0","8.53"
"Test update plant details not parameterized","Valid update plant details","SUCCESS","2023-11-30T13:52:44.1412712+02:00[Europe/Bucharest]","0.0","9.68"
"Test update plant details parameterized","Parameterized update plant details","SUCCESS","2023-11-30T13:53:41.8011179+02:00[Europe/Bucharest]","0.0","45.68"
